title,price,average_rating,rating,review
,"₹65,499",4.6,"45,662","2,440"
,"₹65,499",4.6,"45,662","2,440"
,"₹65,499",4.6,"45,662","2,440"
,"₹57,499",4.6,"77,738","4,345"
,"₹57,499",4.6,"77,738","4,345"
,"₹11,999",4.2,"1,14,146","7,864"
,"₹29,999",4.4,"23,667","2,042"
,"₹65,499",4.6,"45,662","2,440"
,"₹10,499",4.4,"7,881",202
,"₹11,499",4.4,"9,794",337
,"₹13,999",4.2,"22,648","1,218"
,"₹13,999",4.2,"22,648","1,218"
,"₹6,999",4.2,"10,586",588
,"₹24,999",4.5,"26,026","1,821"
,"₹7,699",4.3,"34,810","1,467"
,"₹75,499",4.6,"45,662","2,440"
,"₹22,999",4.5,"30,721","1,952"
,"₹10,499",4.3,"14,159",469
,"₹15,999",4.2,"13,758",838
,"₹6,999",4.2,"10,586",588
,"₹6,999",4.2,"10,586",588
,"₹7,699",4.3,"34,810","1,467"
,"₹33,999",4.3,"11,825",790
,"₹15,999",4.5,"1,634",30
